,turnover
2010-01-29,0.0
2010-02-26,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-30,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-29,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.49999999999999994
2011-02-28,0.2892812704166641
2011-03-31,0.3854385980843059
2011-04-29,0.1763162357500742
2011-05-31,0.297448852955278
2011-06-30,0.2317566362083721
2011-07-29,0.1745861351086716
2011-08-30,0.2812091610878063
2011-09-30,0.2889166004138545
2011-10-31,0.28358917080681334
2011-11-30,0.16089130973692822
2011-12-30,0.22430014244721266
2012-01-31,0.3252436050598806
2012-02-29,0.30485344650245716
2012-03-30,0.29675653398278634
2012-04-30,0.23351358482306817
2012-05-31,0.2219439961488564
2012-06-29,0.23507336201206866
2012-07-31,0.2807354271521362
2012-08-31,0.3632622040561947
2012-09-28,0.36920106471558506
2012-10-31,0.16605079446355908
2012-11-30,0.4084122187319519
2012-12-31,0.2368083140076874
2013-01-31,0.29300968470031397
2013-02-28,0.27657742508742567
2013-03-28,0.21278008959637237
2013-04-30,0.16453510394730503
2013-05-31,0.46233552303436454
2013-06-28,0.2832858995991448
2013-07-31,0.15722615621899327
2013-08-30,0.22416560849908165
2013-09-30,0.3066501077010446
2013-10-31,0.32023042156038495
2013-11-29,0.30013863076916947
2013-12-31,0.317187296612782
2014-01-31,0.34904533493476697
2014-02-28,0.3247254789170608
2014-03-31,0.2887706961510007
2014-04-30,0.245259426714275
2014-05-30,0.26943686065436984
2014-06-30,0.4946961066359556
2014-07-31,0.170397646424089
2014-08-28,0.13007222758051806
2014-09-30,0.1780350280786681
2014-10-31,0.16642037827643275
2014-11-28,0.3590910718048606
2014-12-31,0.21394443898193027
2015-01-30,0.12245416149618961
2015-02-27,0.35200420584685743
2015-03-31,0.22754991310735595
2015-04-30,0.22775227837619202
2015-05-29,0.2973843616040597
2015-06-30,0.427013469978926
2015-07-31,0.38672205278183674
2015-08-31,0.3581611599681528
2015-09-30,0.2313053976085759
2015-10-30,0.3599167849089896
2015-11-30,0.28558830254109735
2015-12-31,0.2963088102557817
2016-01-29,0.0960664510237832
2016-02-29,0.2576535623511893
2016-03-31,0.3458544621388885
2016-04-29,0.2894927780985508
2016-05-31,0.23685463155436504
2016-06-30,0.23766144487759489
2016-07-29,0.37074487585443233
2016-08-31,0.36980775136930577
2016-09-30,0.16302430646920124
2016-10-28,0.18317020151096675
2016-11-30,0.36634348219559154
2016-12-30,0.3496104136178172
2017-01-31,0.3949777671038785
2017-02-28,0.30555766626816505
2017-03-31,0.36696306587652866
2017-04-28,0.3066438473003721
2017-05-31,0.415602585553276
2017-06-30,0.16358347541352342
2017-07-31,0.3638957133632938
2017-08-31,0.15359602973184983
2017-09-29,0.3574181689788167
2017-10-31,0.4547543373775642
2017-11-30,0.2889296618534255
2017-12-29,0.4433770613302314
2018-01-31,0.18034339682412404
2018-02-28,0.2311256472428068
2018-03-28,0.22473842394019194
2018-04-30,0.4572847946498957
2018-05-31,0.2827668364930186
2018-06-29,0.28096704323241195
2018-07-31,0.28391636384038166
2018-08-31,0.37766044883266725
2018-09-28,0.4091477212224906
2018-10-31,0.36179601796787536
2018-11-30,0.5005508777669159
2018-12-31,0.28175768269591533
2019-01-31,0.3523367351377553
2019-02-28,0.4791879960279197
2019-03-28,0.23212020218974821
2019-04-30,0.41110716453877794
2019-05-31,0.22292642496936776
2019-06-28,0.15662998578728787
2019-07-31,0.23441476700417319
2019-08-30,0.22384499441478442
2019-09-30,0.3691936073916512
2019-10-31,0.24581331658077382
2019-11-29,0.4835581485735035
2019-12-31,0.23143595774328066
2020-01-31,0.3842564123139006
2020-02-28,0.3566026921323829
2020-03-31,0.3654668517000767
2020-04-30,0.4259558975406015
2020-05-29,0.23369519371610933
2020-06-30,0.3795950384041318
2020-07-31,0.33908935198894735
2020-08-31,0.25346999206428555
2020-09-30,0.22428839432782388
2020-10-30,0.2208509099665429
2020-11-27,0.19066902449892714
2020-12-31,0.18842350413518416
2021-01-29,0.21853466903890345
2021-02-26,0.2846874159787153
2021-03-31,0.39929255017271303
2021-04-30,0.2834290439332856
2021-05-31,0.12606804662388116
2021-06-30,0.19268942513751924
2021-07-30,0.24288657923413337
2021-08-31,0.26711199071874026
2021-09-30,0.25388214746692167
2021-10-29,0.2939558078253993
2021-11-30,0.1870052216276991
