date,equity
2018-05-25,15.394296409363276
2018-05-28,15.569583713889955
2018-05-29,15.327480822694618
2018-05-30,15.216428865610569
2018-05-31,15.094793355967274
2018-06-01,14.791103918537901
2018-06-04,14.760838255658491
2018-06-05,14.376249548476517
2018-06-06,14.727415147750756
2018-06-07,15.13013880081463
2018-06-08,15.143494144511802
2018-06-11,15.208064473696874
2018-06-12,15.426877626383199
2018-06-13,15.301329783146814
2018-06-14,15.286446672224562
2018-06-15,15.209076164537125
2018-06-18,15.184255638524577
2018-06-19,14.85902500158067
2018-06-20,15.05337558403539
2018-06-21,14.934372569713528
2018-06-22,15.149209703058114
2018-06-25,15.110667044906698
2018-06-26,15.048613686225943
2018-06-27,14.776628989553544
2018-06-28,14.557401648965614
2018-06-29,14.886125808783914
2018-07-02,14.826572401559236
2018-07-03,14.95025655246091
2018-07-04,15.053168682606392
2018-07-05,14.969078579170642
2018-07-06,15.032242901262164
2018-07-09,15.255239756892184
2018-07-10,15.427825222971364
2018-07-11,15.330966862516163
2018-07-12,15.308407294011774
2018-07-13,15.146129260186482
2018-07-16,14.86646483500492
2018-07-17,14.854993764629498
2018-07-18,14.566504466348402
2018-07-19,14.43272732780092
2018-07-20,14.633540380013377
2018-07-23,14.510386468959213
2018-07-24,14.816287490413576
2018-07-25,14.68724272093279
2018-07-26,14.542057928063656
2018-07-27,14.831456283273294
2018-07-30,14.83296199625934
2018-07-31,15.04435813248848
2018-08-01,15.232140154065723
2018-08-02,15.148306924462126
2018-08-03,15.224015077135137
2018-08-06,15.156981488548665
2018-08-07,15.187026884386475
2018-08-08,15.235161755127514
2018-08-09,15.476831192485596
2018-08-10,15.38779612346452
2018-08-13,15.489085741697078
2018-08-14,15.659851171802334
2018-08-16,15.668027703406114
2018-08-17,15.851398451469574
2018-08-20,15.950365632082278
2018-08-21,15.837439825881734
2018-08-23,15.867046347266857
2018-08-24,16.02532817316984
2018-08-27,16.301809701071754
2018-08-28,16.3174950083963
2018-08-29,16.26179001390097
2018-08-30,16.176443250173065
