,turnover
2010-01-29,0.0
2010-02-26,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-30,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-29,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.5
2011-02-28,0.43105159415476746
2011-03-31,0.44510739119014875
2011-04-29,0.4235903890876277
2011-05-31,0.23213350664661153
2011-06-30,0.44343684112478
2011-07-29,0.26801080920754067
2011-08-30,0.40781455730641386
2011-09-30,0.23285499182978897
2011-10-31,0.41615744560806894
2011-11-30,0.41431378730349216
2011-12-30,0.41381150686497625
2012-01-31,0.47492360599772493
2012-02-29,0.24785858332176944
2012-03-30,0.04297731687063551
2012-04-30,0.22423757462822735
2012-05-31,0.4036973468287731
2012-06-29,0.03805254780884598
2012-07-31,0.6209899699815747
2012-08-31,0.06493754366014903
2012-09-28,0.44607510415149904
2012-10-31,0.23347099158481444
2012-11-30,0.4081221491707881
2012-12-31,0.24225654197102753
2013-01-31,0.4242878758620175
2013-02-28,0.5867052717377701
2013-03-28,0.59142022958853
2013-04-30,0.4146083401665167
2013-05-31,0.49494821848404313
2013-06-28,0.4274702456783782
2013-07-31,0.20871967816136366
2013-08-30,0.4330319460200702
2013-09-30,0.25031056307562827
2013-10-31,0.04706968869255865
2013-11-29,0.4295107535912198
2013-12-31,0.05944493468243496
2014-01-31,0.40014334821455744
2014-02-28,0.45773762050376743
2014-03-31,0.2384676778875476
2014-04-30,0.06931897623472259
2014-05-30,0.07632496032410202
2014-06-30,0.5046502276661102
2014-07-31,0.25622133956397275
2014-08-28,0.26899375719574686
2014-09-30,0.07745030657244185
2014-10-31,0.2371658503619662
2014-11-28,0.24803126688246502
2014-12-31,0.2298854276413853
2015-01-30,0.2612042637994003
2015-02-27,0.20413246110298622
2015-03-31,0.21274022991886118
2015-04-30,0.4314761063984458
2015-05-29,0.6118373370678531
2015-06-30,0.24019219833194952
2015-07-31,0.2714818883612007
2015-08-31,0.4264453412119555
2015-09-30,0.6232157644304823
2015-10-30,0.6247044330052889
2015-11-30,0.2183199548675569
2015-12-31,0.06412633324551731
2016-01-29,0.044059877747045256
2016-02-29,0.2805172167727429
2016-03-31,0.48050355142822054
2016-04-29,0.22326681015834848
2016-05-31,0.39997374570550265
2016-06-30,0.2149826829638866
2016-07-29,0.6308664812383896
2016-08-31,0.6449194537691829
2016-09-30,0.6213374792808259
2016-10-28,0.27091136716564534
2016-11-30,0.07154571236208683
2016-12-30,0.2172736510386435
2017-01-31,0.4526602088172353
2017-02-28,0.45536289931453106
2017-03-31,0.05309916146873815
2017-04-28,0.407691008237156
2017-05-31,0.24136400541067657
2017-06-30,0.21217182803864532
2017-07-31,0.42965224340666686
2017-08-31,0.22521854931723626
2017-09-29,0.424378929458184
2017-10-31,0.42242270006347693
2017-11-30,0.6363362387321204
2017-12-29,0.44511527147005203
2018-01-31,0.47609523138489956
2018-02-28,0.4483771996634596
2018-03-28,0.5859351361391882
2018-04-30,0.259147554790934
2018-05-31,0.21387160306658365
2018-06-29,0.2256530669623636
2018-07-31,0.407732554213843
2018-08-31,0.6344001125089322
2018-09-28,0.5846138043695986
2018-10-31,0.23275936989425552
2018-11-30,0.4205196827090172
2018-12-31,0.7964935594190061
2019-01-31,0.4212943649698013
2019-02-28,0.6366446800503807
2019-03-28,0.6340010177727096
2019-04-30,0.20322129924003712
2019-05-31,0.22736794670776092
2019-06-28,0.22993979177532692
2019-07-31,0.7941719412538542
2019-08-30,0.8001629178349545
2019-09-30,0.6290939567327225
2019-10-31,0.24670977849514864
2019-11-29,0.7948283281371478
2019-12-31,0.6288654386824727
2020-01-31,0.45734426625927216
2020-02-28,0.22178607566726632
2020-03-31,0.39966661410417237
2020-04-30,0.3028495246786088
2020-05-29,0.6349598715278091
2020-06-30,0.6770337552007699
2020-07-31,0.28545732631431187
2020-08-31,0.0728281393243408
2020-09-30,0.3173791939116972
2020-10-30,0.42281275115280137
2020-11-27,0.07442235558846123
2020-12-31,0.46329035605257346
2021-01-29,0.22530965688824095
2021-02-26,0.3156210642320082
2021-03-31,0.22258909331721116
2021-04-30,0.2486709584471289
2021-05-31,0.2688665467813174
2021-06-30,0.2865824299442872
2021-07-30,0.23112456161033582
2021-08-31,0.3101794555900861
2021-09-30,0.30873726974477034
2021-10-29,0.23696632603042078
2021-11-30,0.24157246573046554
