date,net_return
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-03,0.015956329977964537
2016-10-04,0.011041597140894872
2016-10-05,0.01033800224581268
2016-10-06,-0.0005476020208123795
2016-10-07,-0.0026288077209491033
2016-10-10,0.0011353686169061185
2016-10-13,-0.01197655049493472
2016-10-14,0.007471430107105659
2016-10-17,-0.007300669658513842
2016-10-18,0.011447566519899552
2016-10-19,-0.001014772908794325
2016-10-20,0.0036526548105979993
2016-10-21,0.002146292723833757
2016-10-24,-0.0006302316570960561
2016-10-25,0.0023261637214598975
2016-10-26,-0.015448437709014726
2016-10-27,-0.015776227025288143
2016-10-28,0.008177277572577808
2016-11-01,0.004366593895875786
2016-11-02,-0.018259901685698233
2016-11-03,-0.0004937630379334524
2016-11-04,-0.014346360048665432
2016-11-07,0.002150337639957954
2016-11-08,0.007456531296044981
2016-11-09,-0.02361363908681589
2016-11-10,0.012362072326750875
2016-11-11,-0.03102573315188587
2016-11-15,-0.03567681184867474
2016-11-16,0.0023902067279904537
2016-11-17,-0.006546425734407399
2016-11-18,0.007567360557065891
2016-11-21,-0.018256454696009686
2016-11-22,0.011930835550168856
2016-11-23,0.0005024948479537206
2016-11-24,0.006470553190029394
2016-11-25,0.0004924571008418422
2016-11-28,0.0029836155608748386
2016-11-29,0.004509905301597002
2016-11-30,0.01568709651542582
2016-12-01,0.0063387944591018815
2016-12-02,-0.010945092272567137
2016-12-05,0.00037040269654517975
2016-12-06,0.007586430779168013
2016-12-07,-0.007528062080586404
2016-12-08,0.014527302647935881
2016-12-09,-0.0006042285473732309
2016-12-12,-0.008989329527239354
2016-12-13,0.0034745561315331717
2016-12-14,-0.004587146266782216
2016-12-15,0.007509473425338662
2016-12-16,-0.004604025752440628
2016-12-19,-0.0027847508295177088
2016-12-20,-0.008352176268544237
2016-12-21,-0.0018104912022797138
2016-12-22,-0.015586468550373813
2016-12-23,-0.0040357890661823995
2016-12-26,-0.007001623040342558
2016-12-27,0.011750166420909718
2016-12-28,0.001178783622514155
2016-12-29,0.01190037855468725
2016-12-30,0.010567581995408104
2017-01-02,0.00760710515894855
2017-01-03,0.009734366461547567
2017-01-04,-0.004633209627337729
2017-01-05,0.0057196210323094
2017-01-06,-0.0020135583343839913
2017-01-09,-0.00837105932122284
2017-01-10,0.01702309654764628
2017-01-11,0.006100509315429062
2017-01-12,-0.0012095483005292898
2017-01-13,-0.003349881181568118
2017-01-16,-0.0006721884679452168
2017-01-17,0.009373666332822552
2017-01-18,0.010836616404159512
2017-01-19,-0.002121849585857893
2017-01-20,-0.016965782188734038
2017-01-23,0.0018803204986426085
2017-01-24,0.0026520068642542616
2017-01-25,0.008373991707153972
2017-01-27,0.011271621476484474
2017-01-30,-0.001038280845539875
2017-01-31,-0.004192628422171606
2017-02-01,0.027856092739292675
2017-02-02,0.014466903187500652
2017-02-03,0.008745929979184896
2017-02-06,0.02674305698331812
2017-02-07,0.0008713244455779494
2017-02-08,0.012785789530438909
2017-02-09,0.00023418284110300196
2017-02-10,-0.0004854545307701672
2017-02-13,-0.007142330092457436
2017-02-14,-0.0018191124719284138
2017-02-15,-0.002834070175530342
2017-02-16,0.010961985488842654
2017-02-17,-0.006859648547502273
2017-02-20,0.004116829162511442
2017-02-21,0.008165276926854457
2017-02-22,-0.0036640933573864423
2017-02-23,0.007130553880444201
2017-02-27,0.00613707358237294
2017-02-28,0.0030845578489359935
2017-03-01,0.0067986336883092795
2017-03-02,-0.01291180512668456
2017-03-03,-0.0012278388492186606
2017-03-06,0.002514978181370838
2017-03-07,-0.0028417193036065205
2017-03-08,-0.002654558705480349
2017-03-09,0.0028977432322894693
2017-03-10,0.0035786185099313202
2017-03-14,0.015049710313205875
2017-03-15,0.004583991199452461
2017-03-16,0.02192326927647737
2017-03-17,0.006033983688792556
2017-03-20,0.01087820469197587
2017-03-21,-0.004715275229923247
2017-03-22,-0.007814791595914685
2017-03-23,0.0060053518816652685
2017-03-24,0.006690907009712429
