,turnover
2010-01-29,0.0
2010-02-26,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-30,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-29,0.5
2010-11-30,0.012878674158671166
2010-12-31,0.023180428440193412
2011-01-31,0.4487651725767177
2011-02-28,0.0
2011-03-31,0.5
2011-04-29,0.00722091279194359
2011-05-30,0.47596313572104104
2011-06-30,0.0
2011-07-29,0.0
2011-08-30,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,0.0
2011-12-30,0.0
2012-01-31,0.0
2012-02-29,0.5
2012-03-30,0.00832377510338761
2012-04-30,0.004475446751703749
2012-05-31,0.469141515736898
2012-06-29,0.5
2012-07-31,0.004726354284686873
2012-08-31,0.002820807037674511
2012-09-28,0.04229341111414886
2012-10-31,0.007329056181326066
2012-11-30,0.023146243865531102
2012-12-31,0.0021471635824579227
2013-01-31,0.01097779040148783
2013-02-28,0.02831104812233337
2013-03-28,0.0009221770720638789
2013-04-30,0.021790428516852978
2013-05-31,0.004700515848020115
2013-06-28,0.012007283330937868
2013-07-31,0.49142444695810844
2013-08-30,0.0
2013-09-30,0.0
2013-10-31,0.5
2013-11-29,0.009767175459796107
2013-12-31,0.010354422719952794
2014-01-31,0.01701300761421326
2014-02-28,0.015391263265662203
2014-03-31,0.03403324757292625
2014-04-30,0.0005817467215704086
2014-05-30,0.03983859243397414
2014-06-30,0.02637638517835339
2014-07-31,0.007222746662586821
2014-08-28,0.015091389977324399
2014-09-30,0.00065685485947653
2014-10-31,0.02243624443734671
2014-11-28,0.01598434298885021
2014-12-31,0.017788828031758352
2015-01-30,0.0317650152066532
2015-02-27,0.0020263152701778253
2015-03-31,0.019989576973059975
2015-04-30,0.4817748203980686
2015-05-29,0.5
2015-06-30,0.003862526166452218
2015-07-31,0.00981953811166869
2015-08-31,0.46709482585568307
2015-09-30,0.0
2015-10-30,0.0
2015-11-30,0.0
2015-12-31,0.0
2016-01-29,0.0
2016-02-29,0.0
2016-03-31,0.0
2016-04-29,0.0
2016-05-31,0.5
2016-06-30,0.007821589246216454
2016-07-29,0.02116074929866374
2016-08-31,0.00854894919907978
2016-09-30,0.009961633060722563
2016-10-28,0.0015590024652355483
2016-11-30,0.023934938643204506
2016-12-30,0.49764726151665756
2017-01-31,0.5
2017-02-28,0.018589455570357738
2017-03-31,0.01656326881644743
2017-04-28,0.007101774339147049
2017-05-31,0.017046350888657802
2017-06-30,0.005214998538391469
2017-07-31,0.029209381252306654
2017-08-31,0.007899059497332883
2017-09-29,0.006518556153892352
2017-10-31,0.027925352814967774
2017-11-30,0.005261095568348861
2017-12-29,0.014870625794321857
2018-01-31,0.023597671132126186
2018-02-28,0.024250323116548234
2018-03-28,0.4819329625327067
2018-04-30,0.5
2018-05-31,0.00014894844037904864
2018-06-29,0.0010176173554988788
2018-07-31,0.029969303035161432
2018-08-31,0.014264958393871319
2018-09-28,0.032106921993386384
2018-10-31,0.47512222386911707
2018-11-30,0.5
2018-12-31,0.000652777498448387
2019-01-31,0.4985454791948866
2019-02-28,0.0
2019-03-28,0.5
2019-04-30,0.007698806855013229
2019-05-31,0.007433060024575
2019-06-28,0.005617396815630504
2019-07-31,0.4715472827458282
2019-08-30,0.0
2019-09-30,0.5
2019-10-31,0.01756075424705883
2019-11-29,0.007518432257686225
2019-12-31,0.004661576239561427
2020-01-31,0.008478918129483426
2020-02-28,0.46821838831792145
2020-03-31,0.0
2020-04-30,0.0
2020-05-29,0.0
2020-06-30,0.0
2020-07-31,0.5
2020-08-31,0.01418030510583046
2020-09-30,0.006144904294731024
2020-10-30,0.017552737831529663
2020-11-27,0.056970631492612944
2020-12-31,0.03904710055304139
2021-01-29,0.012414411308491358
2021-02-26,0.03280443895964957
2021-03-31,0.0055595062458621
2021-04-30,0.002028514132924708
2021-05-31,0.032523194452954374
2021-06-30,0.004450426016214926
2021-07-30,0.0013214325823712736
2021-08-31,0.043429077209898526
2021-09-30,0.014182393213801547
2021-10-29,0.0015183205618585216
2021-11-30,0.01947897215758182
2021-12-31,0.010918189138668266
2022-01-31,0.00040916014520192556
2022-02-28,0.4842573831074397
2022-03-31,0.5
2022-04-29,0.48963056388582715
2022-05-31,0.0
2022-06-30,0.0
2022-07-29,0.5
2022-08-30,0.017514920847114368
2022-09-30,0.018721209243132086
2022-10-31,0.026846578850581948
