date,ticker,side,weight_delta,cost,old_weight,new_weight
2026-05-31,ABCAPITAL,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,ASHOKLEY,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,AUBANK,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,BHARATFORG,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,CANBK,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,CUMMINSIND,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,DELHIVERY,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,GESHIP,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,HINDCOPPER,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,LAURUSLABS,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,MCX,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,NATIONALUM,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,NAVINFLUOR,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,RBLBANK,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-05-31,VEDL,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
