,turnover
2016-09-30,0.49999999999999994
2016-12-30,0.09483117647543338
2017-03-31,0.1754330305011121
2017-06-30,0.21328748094120492
2017-09-29,0.6812941222154748
2017-12-29,0.1954844737666676
2018-03-28,0.039030693276598645
2018-06-29,0.19900672696080374
2018-09-28,0.6670506622336316
2018-12-31,0.18572090029529198
2019-03-28,0.140868600147519
2019-06-28,0.13684088493343127
2019-09-30,0.37624618491119166
2019-12-31,0.19716845675019973
2020-03-31,0.2865162080865553
2020-06-30,0.3597436339570621
2020-09-30,0.5598126839870663
2020-12-31,0.17499659138376325
2021-03-31,0.1968475850603741
2021-06-30,0.22597794249955722
2021-09-30,0.907390337065152
2021-12-31,0.15671914588078886
2022-03-31,0.1260040189991407
2022-06-30,0.254608217112288
2022-09-30,0.7010425590359315
2022-12-30,0.17218483488202618
2023-03-31,0.1157201789201397
2023-06-30,0.23784665515431264
2023-09-29,0.8109257526344413
2023-12-29,0.07887562251017866
2024-03-28,0.12143663388157534
2024-06-28,0.17170677218460292
2024-09-30,0.6590392589369343
2024-12-31,0.13187707775529478
2025-03-28,0.10081561585957013
2025-06-30,0.15173481526311197
2025-09-30,0.6209513689374457
2025-12-31,0.04845186063250517
2026-03-30,0.12648211934986947
2026-06-04,0.2624307645826435
