variant,cagr,annual_vol,sharpe,sortino,max_drawdown,calmar,win_rate_monthly,final_equity,avg_turnover,n_rebalances
Baseline,0.23243559213337162,0.1735172535788427,1.1292856154369082,1.3764476013721665,-0.3235394907190958,0.7184149039017229,0.4489795918367347,30.048521073043524,0.25492028125992805,195
No trend filter,0.31621779661159266,0.20737582642976896,1.308772021954623,1.5915535877178635,-0.3463265401006519,0.9130625580115552,0.6275510204081632,87.67876064016083,0.2727425268836963,195
Top 10,0.24665630437617003,0.18785392971233725,1.1278403449098102,1.4208838902204262,-0.33388284842413596,0.7387510485798874,0.44387755102040816,36.21998371499594,0.270874306594104,195
Top 20,0.23349203351735115,0.16530202989614415,1.1700466808534833,1.406222640787953,-0.3097454371947338,0.7538191220248939,0.4642857142857143,30.470663344679327,0.23508335081459392,195
OOS (≤ 2020-12-31),0.19172588643803024,0.1489248038849888,1.0487758295375729,1.3584677787357475,-0.3235394907190958,0.5925888243561924,0.4166666666666667,6.873184561238245,0.24052079692276832,132
