symbol,side,quantity,estimated_value,order_id,status,limit_price,timestamp
CUMMINSIND,BUY,1,5491.5,260708221483882,placed,5519.0,2026-07-08T11:35:56.618579
FEDERALBNK,BUY,20,6515.0,260708221483896,placed,327.4,2026-07-08T11:35:56.618579
GESHIP,BUY,4,5506.7998046875,260708221483915,placed,1383.6,2026-07-08T11:35:56.618579
GRANULES,BUY,7,5989.900085449219,260708221483936,placed,860.0,2026-07-08T11:35:56.618579
HINDCOPPER,BUY,10,4868.500061035156,260708221483949,placed,489.3,2026-07-08T11:35:56.618579
IDEA,BUY,479,6658.099817276001,260708221483957,placed,13.95,2026-07-08T11:35:56.618579
LAURUSLABS,BUY,4,5857.2001953125,260708221483969,placed,1471.6,2026-07-08T11:35:56.618579
MCX,BUY,1,2727.0,260708221483977,placed,2740.6,2026-07-08T11:35:56.618579
NATIONALUM,BUY,15,5229.000091552734,260708221483997,placed,350.35,2026-07-08T11:35:56.618579
NAVINFLUOR,BUY,1,7350.0,,failed: Tick size for this script is 0.50. Kindly enter price in the multiple of tick size for this script,7386.7,2026-07-08T11:35:56.618579
NAVINFLUOR,BUY,1,7350.0,260708221487030,placed,7386.5,2026-07-08T11:36:10.000000
POLYCAB,BUY,1,9206.5,260708221484026,placed,9252.5,2026-07-08T11:35:56.618579
