,turnover
2010-01-29,0.0
2010-02-26,0.0
2010-03-31,0.0
2010-04-30,0.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-30,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-29,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.49999999999999994
2011-02-28,0.28841740384956027
2011-03-31,0.32224936683013244
2011-04-29,0.23639331691643695
2011-05-31,0.16748104726381505
2011-06-30,0.23783439725691807
2011-07-29,0.17870317007418246
2011-08-30,0.1597359172602829
2011-09-30,0.2831196011194981
2011-10-31,0.21944236050855234
2011-11-30,0.21661569823994375
2011-12-30,0.28820056161709706
2012-01-31,0.3252436050598806
2012-02-29,0.30485344650245716
2012-03-30,0.3667166340554042
2012-04-30,0.1847752338092905
2012-05-31,0.1597039917193277
2012-06-29,0.17309167922479524
2012-07-31,0.21964715258324868
2012-08-31,0.3085160846839077
2012-09-28,0.31342616311161514
2012-10-31,0.10322211477601155
2012-11-30,0.3431307823200145
2012-12-31,0.23557778488798728
2013-01-31,0.2166448432342389
2013-02-28,0.21978629705494587
2013-03-28,0.2767223823570243
2013-04-30,0.15750196194252641
2013-05-31,0.46521254987099275
2013-06-28,0.3411716352887926
2013-07-31,0.1097615587382354
2013-08-30,0.24638419242785198
2013-09-30,0.30991232409045794
2013-10-31,0.24754538872356702
2013-11-29,0.3100181033885119
2013-12-31,0.383649956560538
2014-01-31,0.3537984407434227
2014-02-28,0.25657826789699434
2014-03-31,0.22880992899998182
2014-04-30,0.2466737648898783
2014-05-30,0.26943686065436984
2014-06-30,0.4946961066359556
2014-07-31,0.10550017609713214
2014-08-28,0.11559709631877799
2014-09-30,0.14023592199737514
2014-10-31,0.16719975992395725
2014-11-28,0.2987128908382214
2014-12-31,0.2806367091878269
2015-01-30,0.12959320660741216
2015-02-27,0.23079944696743657
2015-03-31,0.17275111994053738
2015-04-30,0.16948840976546498
2015-05-29,0.2286816138751803
2015-06-30,0.2946280113140245
2015-07-31,0.33158776596932826
2015-08-31,0.23180733718057803
2015-09-30,0.22969108297015667
2015-10-30,0.3010142934538116
2015-11-30,0.23054997609789507
2015-12-31,0.31166439767709153
2016-01-29,0.15939108073354258
2016-02-29,0.25384283959626
2016-03-31,0.34074206434778387
2016-04-29,0.35207555722355843
2016-05-31,0.23056919732128422
2016-06-30,0.2943257787557557
2016-07-29,0.37411028898079934
2016-08-31,0.3015962618733889
2016-09-30,0.1655827258785928
2016-10-28,0.2511020340391652
2016-11-30,0.373239856892462
2016-12-30,0.288639007058666
2017-01-31,0.33536737822307167
2017-02-28,0.43771375900491416
2017-03-31,0.3013389820025597
2017-04-28,0.29178082983200776
2017-05-31,0.3475478411380182
2017-06-30,0.192450855760116
2017-07-31,0.49414465480672715
2017-08-31,0.1619681628398248
2017-09-29,0.44688374159235306
2017-10-31,0.45748709868451765
2017-11-30,0.3136436768127265
2017-12-29,0.2633371638133083
2018-01-31,0.38369180526341284
2018-02-28,0.30462394315317076
2018-03-28,0.36054984546118446
2018-04-30,0.38969540244430206
2018-05-31,0.30591351951185297
2018-06-29,0.21982010267242846
2018-07-31,0.22697564108193952
2018-08-31,0.30149995400849106
2018-09-28,0.41096221104722813
2018-10-31,0.30365625265865503
2018-11-30,0.4999853635343109
2018-12-31,0.28693267979148607
2019-01-31,0.34295469805558154
2019-02-28,0.4791879960279197
2019-03-28,0.23212020218974821
2019-04-30,0.41110716453877794
2019-05-31,0.22292642496936776
2019-06-28,0.15662998578728787
2019-07-31,0.23441476700417319
2019-08-30,0.22384499441478442
2019-09-30,0.3691936073916512
2019-10-31,0.24581331658077382
2019-11-29,0.4835581485735035
2019-12-31,0.23143595774328066
2020-01-31,0.3842564123139006
2020-02-28,0.3566026921323829
2020-03-31,0.36546685170007664
2020-04-30,0.42200484002187966
2020-05-29,0.23369519371610933
2020-06-30,0.3795950384041318
2020-07-31,0.4651234898489894
2020-08-31,0.32135391730835394
2020-09-30,0.3499609694923934
2020-10-30,0.22526660068581736
2020-11-27,0.38853760081341854
2020-12-31,0.28369484452957344
2021-01-29,0.2950910071895414
2021-02-26,0.36704096521386603
2021-03-31,0.33617113694712997
2021-04-30,0.3349359687252078
2021-05-31,0.2638579170564399
2021-06-30,0.35248166124538893
2021-07-30,0.2525590831223388
2021-08-31,0.21505914864673725
2021-09-30,0.27573698265622104
2021-10-29,0.2971880041669764
2021-11-30,0.24434671546900447
